ID	post_author	post_date	post_date_gmt	post_content	post_title	post_excerpt	post_status	comment_status	ping_status	post_password	post_name	to_ping	pinged	post_modified	post_modified_gmt	post_content_filtered	post_parent	guid	menu_order	post_type	post_mime_type	comment_count
1	1	2019-11-28 19:53:47	2019-11-28 19:53:47	<!-- wp:paragraph -->\n<p>Esta es la primera entrada del Blog de la página. Para la gloria del Señor será este Blog. Toda entrada será en Tiempo y Forma trascendental. Toda entrada será espada cortante... Toda gloria postrera se manifestará desde aquí, pero desde aquí ministraremos aún en la gran tribulación de hoy, en este tiempo que existe, en este tiempo que vemos.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:image {"align":"center","id":127,"sizeSlug":"large"} -->\n<figure><img src="http://iciipp.ddns.net/ICIIPP/wp-content/uploads/2019/12/GloriaPostrera.jpg.svg_-512x1024.png" alt="" />\n<figcaption>¡¡Amén!!</figcaption>\n</figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph -->\n<p>&nbsp;</p>\n<!-- /wp:paragraph -->	¡Bienvenidos!		publish	open	open		hello-world			2019-12-08 16:05:33	2019-12-08 16:05:33		0	http://192.168.4.103/ICIIPP/?p=1	0	post		1
2	1	2019-11-28 19:53:47	2019-11-28 19:53:47	<!-- wp:paragraph -->\n<p>This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:quote -->\n<blockquote class="wp-block-quote"><p>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my website. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</p></blockquote>\n<!-- /wp:quote -->\n\n<!-- wp:paragraph -->\n<p>...or something like this:</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:quote -->\n<blockquote class="wp-block-quote"><p>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</p></blockquote>\n<!-- /wp:quote -->\n\n<!-- wp:paragraph -->\n<p>As a new WordPress user, you should go to <a href="http://192.168.4.103/ICIIPP/wp-admin/">your dashboard</a> to delete this page and create new pages for your content. Have fun!</p>\n<!-- /wp:paragraph -->	Sample Page		publish	closed	open		sample-page			2019-11-28 19:53:47	2019-11-28 19:53:47		0	http://192.168.4.103/ICIIPP/?page_id=2	0	page		0
3	1	2019-11-28 19:53:47	2019-11-28 19:53:47	<!-- wp:heading --><h2>Who we are</h2><!-- /wp:heading --><!-- wp:paragraph --><p>Our website address is: http://192.168.4.103/ICIIPP.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>What personal data we collect and why we collect it</h2><!-- /wp:heading --><!-- wp:heading {"level":3} --><h3>Comments</h3><!-- /wp:heading --><!-- wp:paragraph --><p>When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor&#8217;s IP address and browser user agent string to help spam detection.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>An anonymized string created from your email address (also called a hash) may be provided to the Gravatar service to see if you are using it. The Gravatar service privacy policy is available here: https://automattic.com/privacy/. After approval of your comment, your profile picture is visible to the public in the context of your comment.</p><!-- /wp:paragraph --><!-- wp:heading {"level":3} --><h3>Media</h3><!-- /wp:heading --><!-- wp:paragraph --><p>If you upload images to the website, you should avoid uploading images with embedded location data (EXIF GPS) included. Visitors to the website can download and extract any location data from images on the website.</p><!-- /wp:paragraph --><!-- wp:heading {"level":3} --><h3>Contact forms</h3><!-- /wp:heading --><!-- wp:heading {"level":3} --><h3>Cookies</h3><!-- /wp:heading --><!-- wp:paragraph --><p>If you leave a comment on our site you may opt-in to saving your name, email address and website in cookies. These are for your convenience so that you do not have to fill in your details again when you leave another comment. These cookies will last for one year.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>If you visit our login page, we will set a temporary cookie to determine if your browser accepts cookies. This cookie contains no personal data and is discarded when you close your browser.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>When you log in, we will also set up several cookies to save your login information and your screen display choices. Login cookies last for two days, and screen options cookies last for a year. If you select &quot;Remember Me&quot;, your login will persist for two weeks. If you log out of your account, the login cookies will be removed.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>If you edit or publish an article, an additional cookie will be saved in your browser. This cookie includes no personal data and simply indicates the post ID of the article you just edited. It expires after 1 day.</p><!-- /wp:paragraph --><!-- wp:heading {"level":3} --><h3>Embedded content from other websites</h3><!-- /wp:heading --><!-- wp:paragraph --><p>Articles on this site may include embedded content (e.g. videos, images, articles, etc.). Embedded content from other websites behaves in the exact same way as if the visitor has visited the other website.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website.</p><!-- /wp:paragraph --><!-- wp:heading {"level":3} --><h3>Analytics</h3><!-- /wp:heading --><!-- wp:heading --><h2>Who we share your data with</h2><!-- /wp:heading --><!-- wp:heading --><h2>How long we retain your data</h2><!-- /wp:heading --><!-- wp:paragraph --><p>If you leave a comment, the comment and its metadata are retained indefinitely. This is so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>For users that register on our website (if any), we also store the personal information they provide in their user profile. All users can see, edit, or delete their personal information at any time (except they cannot change their username). Website administrators can also see and edit that information.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>What rights you have over your data</h2><!-- /wp:heading --><!-- wp:paragraph --><p>If you have an account on this site, or have left comments, you can request to receive an exported file of the personal data we hold about you, including any data you have provided to us. You can also request that we erase any personal data we hold about you. This does not include any data we are obliged to keep for administrative, legal, or security purposes.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Where we send your data</h2><!-- /wp:heading --><!-- wp:paragraph --><p>Visitor comments may be checked through an automated spam detection service.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Your contact information</h2><!-- /wp:heading --><!-- wp:heading --><h2>Additional information</h2><!-- /wp:heading --><!-- wp:heading {"level":3} --><h3>How we protect your data</h3><!-- /wp:heading --><!-- wp:heading {"level":3} --><h3>What data breach procedures we have in place</h3><!-- /wp:heading --><!-- wp:heading {"level":3} --><h3>What third parties we receive data from</h3><!-- /wp:heading --><!-- wp:heading {"level":3} --><h3>What automated decision making and/or profiling we do with user data</h3><!-- /wp:heading --><!-- wp:heading {"level":3} --><h3>Industry regulatory disclosure requirements</h3><!-- /wp:heading -->	Privacy Policy		draft	closed	open		privacy-policy			2019-11-28 19:53:47	2019-11-28 19:53:47		0	http://192.168.4.103/ICIIPP/?page_id=3	0	page		0
5	1	2019-11-28 20:13:09	2019-11-28 20:13:09	<p><!-- wp:group {"align":"wide"} --></p>\n<p><!-- wp:heading {"align":"center","textColor":"accent"} --></p>\n<h2>"Y será predicado el evangelio del Reino a todas las naciones y entonces será el fin" Mateo 24:14</h2>\n \n<p><!-- /wp:heading --></p>\n<p><!-- /wp:group --><!-- wp:paragraph {"dropCap":true} --></p>\n<p>Dios, en su gran amor y misericordia, nos ha mostrado la grandeza de su bondad en el tiempo postrero. Hoy es tiempo del Testimonio, de liberar de la opresión, y de proclamar las buenas nuevas. Desde el Espíritu Santo es que se da el Testimonio. El Testimonio presente, el Testimonio postrero. El Gran Testimonio de la Vida Eterna, de la Vida en comunión con Jesús.</p>\n<p>En estos tiempos de los últimos días, como fue profetizado por la Unción del Espíritu Santo, el Gran Avivamiento ya está aquí.</p>\n<center>\n<p>¡Es tiempo de ser luz, es tiempo de proclamar el evangelio a toda criatura!</p>\n</center>\n<p><img src="http://192.168.4.103/ICIIPP/wp-content/uploads/2019/11/18424227_1357912160956976_5708898215869608711_n-300x169.jpg" alt="" width="300" height="169" /></p>\n<center>\n<h2>El tiempo del cumplimiento de Mateo 24:14 ha llegado...</h2>\n</center>\n<p><img src="http://192.168.4.103/ICIIPP/wp-content/uploads/2019/11/Amor-infinito-4-no-borders.png" alt="" width="104" height="122" /></p>\n<center>\n<h4>En este cumplimiento la <strong>Iglesia Cristiana Internacional e Inter-denominacional "Príncipe de Paz"</strong> abre sus puertas y su nuevo sitio web.</h4>\n</center>\n<p>El tiempo de trabajar por amor a Cristo llegó, pues empezando en 2017, con menos de 20 personas, y con el apoyo y dependencia de otra iglesia de Estados Unidos, para 2019, a causa de recursos extraordinarios, pudimos realizar el inicio de construcciones de Templos en Venezuela y en Kenya, y en menos de dos años tenemos un ministerio con presencia en México, Venezuela, Kenia, Uganda y Pakistán.</p>\n<p><!-- /wp:paragraph --><!-- wp:paragraph --></p>\n<p><!-- /wp:paragraph --><!-- wp:group {"customBackgroundColor":"#ffffff","align":"wide"} --></p>\n<p><!-- wp:group --></p>\n<p><!-- wp:heading {"align":"center"} --></p>\n<h2>Tenemos gran necesidad de ofrenda por la fundación del ministerio</h2>\n<p><!-- /wp:heading --><!-- wp:paragraph {"align":"center"} --></p>\n<p>Únete a los fundadores de la iglesia al dar tu ofrenda a este ministerio, y formar parte de los libros eternos y trascendentales por causa de tu ofrenda.</p>\n<p><!-- /wp:paragraph --><!-- wp:button {"align":"center"} --></p>\n<a href="http://iciipp.ddns.net/ICIIPP/index.php/ofrendar/">Ofrendar</a>\n<p><!-- /wp:button --></p>\n<p><!-- /wp:group --></p>\n<p><!-- /wp:group --><!-- wp:gallery {"ids":[39,38],"align":"wide"} --></p>\n<p> </p>\n<figure>\n<figure></figure>\n</figure>\n<p><!-- /wp:gallery --></p>\t\t\n\t\t\t<h2>Avisos y noticias del ministerio</h2>\t\t\n\t\t<h3>Necesitamos ayuda urgente para el ministerio en Venezuela, favor de ver el video...</h3>https://www.youtube.com/watch?v=I2P6EYFHiYg<p>Para ver la actualización del problema al 8 de diciembre de 2019, revisen <a href="http://iciipp.ddns.net/ICIIPP/index.php/2019/12/08/necesitamos-ayuda/">nuestra última entrada del Blog</a></p>\n<p>Dios les bendiga.</p>	Es el tiempo del Gran Testimonio		publish	closed	closed		el-gran-testimonio			2019-12-08 16:31:24	2019-12-08 16:31:24		0	http://192.168.4.103/ICIIPP/?page_id=5	0	page		0
7	1	2019-11-28 20:13:09	2019-11-28 20:13:09	<!-- wp:paragraph -->\n<p>This is a page with some basic contact information, such as an address and phone number. You might also try a plugin to add a contact form.</p>\n<!-- /wp:paragraph -->	Contact		publish	closed	closed		contact			2019-11-28 20:13:09	2019-11-28 20:13:09		0	http://192.168.4.103/ICIIPP/?page_id=7	0	page		0
8	1	2019-11-28 20:13:09	2019-11-28 20:13:09		Blog		publish	closed	closed		blog			2019-11-28 20:13:09	2019-11-28 20:13:09		0	http://192.168.4.103/ICIIPP/?page_id=8	0	page		0
11	1	2019-11-28 20:05:09	2019-11-28 20:05:09		Amor infinito 4-no-borders		inherit	open	closed		amor-infinito-4-no-borders			2019-11-28 21:46:47	2019-11-28 21:46:47		5	http://192.168.4.103/ICIIPP/wp-content/uploads/2019/11/Amor-infinito-4-no-borders.png	0	attachment	image/png	0
12	1	2019-11-28 20:06:27	2019-11-28 20:06:27		Amor infinito 4		inherit	open	closed		amor-infinito-4			2019-11-28 20:06:27	2019-11-28 20:06:27		0	http://192.168.4.103/ICIIPP/wp-content/uploads/2019/11/Amor-infinito-4.png	0	attachment	image/png	0
13	1	2019-11-28 20:06:45	2019-11-28 20:06:45	http://192.168.4.103/ICIIPP/wp-content/uploads/2019/11/cropped-Amor-infinito-4.png	cropped-Amor-infinito-4.png		inherit	open	closed		cropped-amor-infinito-4-png			2019-11-28 20:06:45	2019-11-28 20:06:45		0	http://192.168.4.103/ICIIPP/wp-content/uploads/2019/11/cropped-Amor-infinito-4.png	0	attachment	image/png	0
14	1	2019-11-28 20:11:20	2019-11-28 20:11:20	El Amor Infinito	Amor Infinito-4 squared		inherit	open	closed		amor-infinito-4-squared			2019-11-28 21:45:34	2019-11-28 21:45:34		5	http://192.168.4.103/ICIIPP/wp-content/uploads/2019/11/Amor-Infinito-4-squared.png	0	attachment	image/png	0
